"RYR",8700147,"Aéroport Charles de Gaulle 2 TGV",1
"PKY",8711127,"Porte de Clichy",1
"PE",8711300,"Paris Est",1
"PAN",8711320,"Pantin",1
"NSY",8711321,"Noisy Le Sec",1
"BDY",8711340,"Bondy",1
"RVM",8711347,"Le Raincy Villemomble",1
"GN",8711351,"Gagny",1
"CGG",8711352,"Chenay Gagny",1
"RBI",8711369,"Rosny Bois Perrier",1
"RSB",8711370,"Rosny sous Bois",1
"VDF",8711371,"Val de Fontenay RER E",1
"NLP",8711374,"Nogent Le Perreux",1
"BXP",8711377,"Les Boullereaux Champigny",1
"VSM",8711379,"Villiers sur Marne Le Plessis Trévise",1
"LYV",8711380,"Les Yvris Noisy Le Grand",1
"CPK",8711587,"Champbenoist - Poigny",1
"GZ",8711601,"Gretz Armainvilliers",1
"OZF",8711602,"Ozoir la Ferrière",1
"ROB",8711603,"Roissy en Brie",1
"EM",8711604,"Émerainville Pontault Combault",1
"VNL",8711607,"Verneuil l'Étang",1
"MRT",8711608,"Mormant",1
"NAN",8711609,"Nangis",1
"MEA",8711610,"Meaux",1
"CSG",8711611,"Chelles Gournay",1
"LON",8711613,"Longueville",1
"PRO",8711616,"Provins",1
"XCS",8711617,"Saint-Colombe - Septveilles",1
"TOU",8711621,"Tournan",1
"MLB",8711622,"Marles en Brie",1
"MOF",8711624,"Mortcerf",1
"GCM",8711626,"Guérard la Celle sur Morin",1
"FMP",8711627,"Faremoutiers Pommeuse",1
"MXK",8711628,"Mouroux",1
"VAI",8711629,"Vaires Torcy",1
"CO",8711630,"Coulommiers",1
"LGY",8711631,"Lagny Thorigny",1
"EY",8711632,"Esbly",1
"NC9",8711634,"Chailly Boissy le Châtel",1
"ND0",8711635,"Chauffry",1
"SSJ",8711636,"Saint-Siméon",1
"NC8",8711637,"Saint-Rémy la Vanne",1
"MYD",8711640,"Montry Condé",1
"TLP",8711649,"Trilport",1
"CJN",8711650,"Changis Saint-Jean",1
"LFJ",8711651,"La Ferté sous Jouarre",1
"NAU",8711655,"Nanteuil Saacy",1
"NAA",8711656,"Nogent l'Artaud Charly",1
"CYZ",8711657,"Chézy sur Marne",1
"CTH",8711658,"Château Thierry",1
"IAC",8711661,"Isles-Armentières-Congis",1
"LZO",8711663,"Lizy-sur-Ourcq",1
"CQQ",8711664,"Crouy-sur-Ourcq",1
"MAQ",8711666,"Mareuil-sur-Ourcq",1
"LFM",8711667,"La Ferté Milon",1
"CYQ",8711673,"Couilly Saint-Germain Quincy",1
"VBB",8711674,"Villiers-Montbarbin",1
"CLC",8711677,"Crécy-la-Chapelle",1
"SFD",8716478,"Stade de France Saint-Denis",1
"LPN",8716479,"La Plaine Stade de France",1
"PNO",8727100,"Paris Nord",0
"SDE",8727101,"Saint-Denis",1
"GDS",8727102,"Paris Nord",1
"PNB",8727103,"Paris Nord",0
"EPV",8727112,"Épinay Villetaneuse",1
"EYS",8727114,"Épinay sur Seine",1
"PRF",8727116,"Pierrefitte Stains",1
"LBJ",8727117,"La Barre Ormesson",1
"GEN",8727120,"Gennevilliers",1
"SOS",8727124,"Saint-Ouen",1
"ALC",8727130,"Aubervilliers La Courneuve",1
"LBT",8727139,"Le Bourget",1
"DRN",8727140,"Drancy",1
"AB",8727141,"Aulnay sous Bois",1
"SEV",8727142,"Sevran Livry",1
"VGL",8727143,"Vert Galant",1
"BDE",8727144,"Sevran Beaudottes",1
"VPN",8727145,"Villepinte",1
"RSY",8727146,"Aéroport Charles de Gaulle 1",1
"BAM",8727147,"Blanc Mesnil",1
"PEX",8727148,"Parc des Expositions",1
"VII",8727151,"Villeparisis Mitry Le Neuf",1
"MY",8727152,"Mitry Claye",1
"DAM",8727153,"Dammartin Juilly-Saint-Mard",1
"PLB",8727155,"Plessis-Belleville",1
"NH",8727157,"Nanteuil-le-Haudoin",1
"ORM",8727158,"Ormoy-Villers",1
"CYV",8727159,"Crépy-en-Valois",1
"VW",8727202,"Villaines",1
"SWY",8727203,"Seugy",1
"COJ",8727204,"Compans",1
"TNT",8727205,"Thieux - Nantouillet",1
"LEG",8727214,"Les Grésillons",1
"CL",8727600,"Creil",1
"EN",8727602,"Enghien les Bains",1
"CEG",8727603,"Champ de Courses d'Enghien",1
"ERT",8727605,"Ermont Eaubonne",1
"CEJ",8727606,"Cernay",1
"FPB",8727607,"Franconville Le Plessis Bouchard",1
"MBP",8727608,"Montigny Beauchamp",1
"PRY",8727609,"Pierrelaye",1
"SOA",8727610,"Saint-Ouen l'Aumône",1
"CLY",8727611,"Chantilly Gouvieux",1
"PSE",8727613,"Pontoise",1
"EPL",8727614,"Épluches",1
"PPT",8727615,"Pont-Petit",1
"CPW",8727616,"Chaponval",1
"SGT",8727617,"Saint-Gratien",1
"SNN",8727618,"Sannois",1
"GAJ",8727619,"Garges Sarcelles",1
"VIB",8727622,"Villiers le Bel Gonesse Arnouville",1
"LNX",8727623,"Les Noues",1
"GOU",8727624,"Goussainville",1
"LOV",8727625,"Louvres",1
"SUR",8727626,"Survilliers Fosses",1
"ORY",8727627,"Orry la Ville Coye",1
