pa_id,code
171,MGT
109,MPU
516,FMN
1080,CSY
372,MDS
133,BWI
266,BLU
255,VTV
279,LPN
502,ZUB
205,VGS
89,SOA
443,NC8
452,BRN
32,AB
106,BVI
70,BXI
294,VBO
170,EVC
309,MVP
246,INV
3,US
291,VDF
518,PAX
132,MEL
200,FON
235,MKU
122,GZ
209,GN
322,DAM
180,NSY
505,PWR
82,SGT
227,VFG
191,GCR
501,LVZ
341,CME
125,PRR
330,BNR
109,MP
267,ELY
163,KRW
38,TVY
61,TVO
31,CLC
303,MFA
493,BXG
9,BSR
260,DA
314,HRY
346,VW
344,XPY
119,LCB
113,GMC
76,KVE
149,RYR
350,CAZ
224,VMD
221,MWO
91,XOA
187,MTU
195,EPO
240,LGY
151,MOF
16,PE
489,NYC
520,LZV
6,SGM
276,AEE
472,EPV
335,ZTN
176,MTE
233,OY
161,PSE
196,PLY
311,MSO
99,BDY
118,RBT
243,LSD
189,FPB
238,PJ
33,IPO
528,SKX
2,MFY
75,SQY
63,GDS
179,AUW
336,LON
521,GUW
352,CMA
298,ERT
379,EYS
362,MSN
424,MBR
244,NAU
367,LSI
391,RF
263,BCO
369,TNT
479,NC5
358,YES
22,OGB
1081,PUY
26,PDM
348,LMU
480,RUR
207,LFA
104,SLF
378,HAR
83,ALC
283,GBG
277,D
172,SF
492,TOC
453,MS
331,PG
300,ELW
24,LWA
206,SCD
107,IAP
519,PAW
436,CL
44,CYQ
394,SAO
201,BSW
46,NZL
409,CEV
68,CLL
169,PRO
58,CO
353,GOU
290,JUZ
80,TPA
347,SEV
446,CLX
321,BEL
247,BJR
483,AUU
399,SCW
112,JY
10,BUR
373,MFL
287,RVM
431,VWT
212,CBK
35,ATH
96,ACW
34,PRQ
332,FPN
530,RNS
1092,VTP
323,BSO
527,SNM
196,PAA
355,PRF
357,MY
484,NTN
455,VN
482,CGP
21,EYO
445,PLB
126,NO
254,XCS
364,SVL
249,OZF
510,ARK
81,MHD
478,NC4
20,CPW
504,LXJ
115,DEU
299,OBP
386,VNL
144,VMS
522,ORS
105,ABL
152,ARP
217,ETP
47,ROB
419,SLT
63,PNB
136,GAQ
140,PAZ
178,PAN
513,PCX
312,CJR
441,CYV
301,VCX
236,VY
402,MLB
65,LIE
524,HAQ
252,LDU
150,LZO
517,BQC
494,VDE
281,VDV
253,VWC
393,PKY
67,WEE
503,BXR
146,CVF
134,TLP
248,CQQ
232,BYS
515,ATW
95,CPA
280,CSG
190,MRT
245,CHQ
250,SNN
491,LQN
108,BY
88,MTQ
185,IV
158,MDN
377,VSM
308,PIE
282,NAN
318,BNY
405,CYZ
460,CTH
186,VRI
381,CGG
139,LFC
128,RIS
210,VC
512,BQQ
167,ERA
17,NPT
55,SVR
307,PV
506,DFR
18,CHR
148,CPO
273,CFD
211,VSW
268,MLV
448,FFY
488,NYG
407,DX
374,LBJ
60,LIM
62,CJV
164,XFA
37,BIS
241,LUZ
1084,VYE
110,CBV
337,GZA
214,RSS
509,LJA
324,SCR
1083,EYV
425,LQK
153,MKN
286,SNB
388,KOU
481,NC3
77,BIH
97,BOM
427,CLY
389,IGY
103,CEX
390,PRU
165,GNX
375,VET
360,SUR
183,NC7
259,MJW
297,NUE
140,PZB
400,PRY
162,BXN
325,CPM
215,ISP
284,BDE
334,LSW
90,SHL
223,RSB
298,ERE
272,ARW
27,VPN
40,FAF
19,RPA
1063,VVG
49,CEG
465,ORY
74,TAE
234,EM
166,LIU
54,SWY
131,GPA
270,MBP
199,VSG
30,LNX
51,SFD
487,BQA
1088,LAR
387,SXE
328,BXP
1087,JOI
121,LFJ
168,FMP
476,SXR
454,GIS
15,LYV
147,GEN
29,BVA
261,MRK
351,CYP
392,IAC
184,DMO
339,GCM
52,VAI
57,CGW
306,MXK
338,PPT
269,VDA
182,AHM
120,VBB
292,ISY
69,ERM
500,CGJ
363,JVL
523,BVJ
365,VUN
41,CHV
198,AEH
444,NH
291,VFR
114,VXS
141,HER
1082,SES
175,VFD
72,PMP
496,NGM
329,GBI
11,GAJ
1091,SPI
202,SXG
66,JAS
222,MAE
428,SOS
130,PTC
278,MJM
495,FSB
101,BQV
142,CPK
5,TSS
349,VIB
370,EY
305,SLL
304,MEA
23,MOR
437,NC9
48,BOF
257,VEH
220,HSL
129,OSN
63,PNO
86,SPP
485,VNC
1085,SJX
87,MLR
340,EVR
12,TMR
345,LYO
100,LGK
256,LBT
251,VDO
404,BBN
514,XBY
219,TOU
237,MPJ
486,NYP
228,VMK
192,FPO
462,ND0
398,COE
499,PXO
380,COJ
414,MAQ
13,POA
498,XMC
229,LPE
242,BLA
1093,CH
497,JVR
411,DDI
382,BGV
90,XND
208,VD
116,RBI
466,NAA
366,DRN
204,PSL
231,LAD
296,VCN
193,POP
42,ETY
1089,EPN
64,PEX
356,PSY
316,BFM
397,LEG
396,BFX
188,GRL
271,VEP
1,NSP
216,ANY
265,NG
56,VBV
218,BWR
50,EN
471,NAF
155,BEC
59,MAL
293,SHO
124,VRD
36,APK
429,TRH
262,ECZ
526,CVW
326,CWJ
343,LYQ
135,BJN
43,BRK
422,SSJ
213,BAM
309,MVW
181,AVF
111,PPD
225,HOA
320,MVH
288,PEB
94,CYC
295,VYL
385,NIO
14,CHK
183,NUN
160,CLR
98,VSS
123,BKR
507,CUF
258,CEJ
194,MNY
275,CVI
418,PYO
383,IBM
302,ESO
529,FNR
157,NLP
525,GIF
79,VII
138,MLF
25,BRW
4,VOM
93,SDE
137,MSX
84,CJN
143,CES
71,CSH
426,JOY
85,MYD
8,SME
430,ORM
319,MLM
511,BGK
447,LFM
92,PTX
371,VRG
508,GTL
72,PVA
368,LJU
376,RSY
395,GGV
177,VGL
173,GGG
1090,MTN
342,LOV
490,NSL
477,VPQ
264,EPL
145,FMY
464,MVC
252,GAW
1604,NLF
