pa_id,line,line_index,increasing_index_is_outbound
196,A,,
268,H,,
85,P,,
482,A,,
179,H,,
378,L,,
339,P,,
362,D,1550,t
1083,R,,
200,R,,
485,A,,
460,P,,
527,B,,
273,L,,
516,B,,
296,L,,
32,K,,
80,J,,
196,R,,
118,N,,
128,D,1380,t
530,B,,
411,R,,
340,D,1400,t
395,J,,
278,N,,
143,D,1290,t
207,D,1530,t
502,A,,
20,H,,
201,H,,
515,B,,
180,E,,
149,B,,
280,P,,
311,H,,
79,B,,
511,B,,
360,D,1050,f
487,A,,
61,N,,
341,R,,
383,D,1440,t
328,E,,
237,L,,
353,D,1080,f
110,D,1260,t
132,R,,
518,B,,
124,L,,
276,L,,
476,A,,
235,J,,
480,A,,
22,N,,
443,P,,
136,N,,
55,N,,
306,P,,
210,U,,
122,E,,
286,L,,
57,N,,
436,H,,
509,B,,
211,J,,
446,D,1150,f
225,N,,
146,J,,
122,P,,
195,N,,
234,E,,
251,L,,
228,N,,
76,J,,
1063,R,,
426,TER,,
264,H,,
178,E,,
369,K,,
75,N,,
324,U,,
273,J,,
50,H,,
94,L,,
258,H,,
319,N,,
257,N,,
446,B,,
342,D,1060,f
99,E,,
441,K,,
305,H,,
1088,R,,
29,TER,,
512,B,,
500,A,,
332,H,,
224,H,,
54,H,,
135,D,1540,t
58,P,,
400,H,,
466,P,,
192,R,,
184,H,,
119,L,,
402,P,,
34,H,,
165,H,,
414,P,,
52,P,,
489,A,,
166,D,1270,t
1087,R,,
430,K,,
142,P,,
61,U,,
520,B,,
499,A,,
241,H,,
483,A,,
343,R,,
96,L,,
121,P,,
465,D,1030,f
242,J,,
501,A,,
351,A,,
63,D,1140,f
254,P,,
320,U,,
5,J,,
418,H,,
504,B,,
114,J,,
18,J,,
472,H,,
491,A,,
93,D,1120,f
24,L,,
322,K,,
356,J,,
198,J,,
96,A,,
381,E,,
437,P,,
507,B,,
92,L,,
40,N,,
348,J,,
47,E,,
373,L,,
495,A,,
462,P,,
249,E,,
51,D,1130,f
510,B,,
409,J,,
49,H,,
227,N,,
92,U,,
447,P,,
287,E,,
16,P,,
523,B,,
145,J,,
528,B,,
349,D,1090,f
12,R,,
300,L,,
392,P,,
364,L,,
44,P,,
295,N,,
56,D,1430,t
9,H,,
378,A,,
252,L,,
193,D,1470,t
120,P,,
355,D,1110,f
255,D,1200,t
344,J,,
43,H,,
63,K,,
301,H,,
3,J,,
490,A,,
153,R,,
312,R,,
521,B,,
139,L,,
247,R,,
517,B,,
27,B,,
97,R,,
141,R,,
210,N,,
101,D,1560,t
318,D,1240,t
31,P,,
72,N,,
175,L,,
259,D,1500,t
377,E,,
425,J,,
81,J,,
252,U,,
398,D,1410,t
33,J,,
84,P,,
357,K,,
214,J,,
177,B,,
70,D,1250,t
375,J,,
273,A,,
261,J,,
138,L,,
479,A,,
291,A,,
256,B,,
229,N,,
250,J,,
444,K,,
199,D,1210,t
351,L,,
212,J,,
115,H,,
172,R,,
15,E,,
436,D,1010,f
497,A,,
471,A,,
338,H,,
275,N,,
519,B,,
503,A,,
131,R,,
59,D,1580,t
1089,TER,,
281,U,,
506,B,,
386,P,,
216,J,,
111,D,1190,t
1082,R,,
505,B,,
188,H,,
290,J,,
183,A,,
253,D,1330,t
481,A,,
357,B,,
297,A,,
522,B,,
298,J,,
281,L,,
206,U,,
219,P,,
176,J,,
263,J,,
98,R,,
365,R,,
272,J,,
291,E,,
484,A,,
445,K,,
95,J,,
190,P,,
427,D,1020,f
1093,TER,,
130,L,,
493,A,,
488,A,,
138,A,,
155,L,,
221,H,,
331,N,,
6,L,,
204,J,,
219,E,,
116,E,,
419,H,,
524,B,,
4,D,1490,t
243,J,,
478,A,,
1085,R,,
1090,TER,,
32,B,,
299,D,1350,t
284,B,,
170,D,1360,t
326,U,,
366,B,,
492,A,,
452,H,,
209,E,,
298,H,,
191,J,,
19,E,,
364,A,,
385,L,,
356,A,,
38,H,,
195,J,,
320,L,,
429,J,,
71,J,,
396,D,1370,t
244,P,,
62,L,,
104,H,,
144,H,,
347,B,,
161,H,,
169,P,,
477,A,,
89,H,,
123,D,1480,t
282,P,,
107,H,,
1081,R,,
164,D,1460,t
168,P,,
23,R,,
330,J,,
220,E,,
63,B,,
112,D,1320,t
163,D,1220,t
352,N,,
100,L,,
134,P,,
88,J,,
69,H,,
204,L,,
213,B,,
335,D,1280,t
270,H,,
486,A,,
424,N,,
189,H,,
1,R,,
91,J,,
407,N,,
378,J,,
90,B,,
208,D,1180,t
431,J,,
11,D,1100,f
388,L,,
405,P,,
453,R,,
173,D,1340,t
498,A,,
336,P,,
46,N,,
326,L,,
109,B,,
288,H,,
376,B,,
302,D,1420,t
65,H,,
514,B,,
74,N,,
283,D,1390,t
87,L,,
496,A,,
321,L,,
374,H,,
526,B,,
86,R,,
161,J,,
150,P,,
183,L,,
93,H,,
370,P,,
133,D,1570,t
206,L,,
304,P,,
240,P,,
494,A,,
337,TER,,
422,P,,
232,N,,
126,H,,
454,J,,
262,H,,
298,C,1070,f
404,D,1040,f
308,N,,
94,A,,
103,D,1450,t
266,N,,
358,D,1230,t
64,B,,
68,L,,
1084,R,,
63,H,,
297,L,,
1091,TER,,
1080,R,,
132,D,1590,t
62,A,,
10,D,1520,t
191,A,,
196,D,1160,t
171,E,,
508,B,,
380,K,,
367,N,,
248,P,,
222,N,,
30,D,1070,f
276,J,,
448,R,,
48,H,,
194,D,1510,t
271,N,,
158,N,,
187,R,,
157,E,,
75,U,,
455,J,,
151,P,,
382,L,,
303,D,1170,t
162,R,,
529,B,,
525,B,,
113,L,,
346,H,,
314,J,,
83,B,,
129,J,,
279,B,,
513,B,,
60,J,,
167,J,,
176,N,,
67,D,1300,t
295,U,,
269,J,,
446,A,,
148,H,,
205,D,1310,t
309,B,,
223,E,,
324,N,,
280,E,,
464,A,,
252,A,,
161,C,1000,f
189,C,1050,f
89,C,1010,f
65,C,1020,f
400,C,1030,f
270,C,1040,f
258,C,1060,f
82,C,1080,t
227,C,1220,t
125,C,1140,t
109,C,1550,t
267,C,1770,t
260,C,1830,t
350,C,1530,t
233,C,1410,t
238,C,1600,t
2,C,1240,t
75,C,1630,t
379,C,1090,t
391,C,1430,t
26,C,1300,t
277,C,1820,t
394,C,1500,t
372,C,1320,t
106,C,1270,t
294,C,1580,t
309,C,1450,t
246,C,1310,t
399,C,1800,t
112,C,1490,t
35,C,1480,t
323,C,1690,t
21,C,1640,t
105,C,1470,t
152,C,1760,t
217,C,1730,t
236,C,1370,t
393,C,1130,t
245,C,1440,t
108,C,1670,t
185,C,1360,t
186,C,1460,t
210,C,1610,t
17,C,1150,t
307,C,1510,t
37,C,1570,t
324,C,1620,t
77,C,1780,t
389,C,1560,t
390,C,1420,t
140,C,1340,t
325,C,1290,t
215,C,1260,t
334,C,1400,t
90,C,1330,t
387,C,1810,t
147,C,1100,t
182,C,1170,t
292,C,1250,t
363,C,1280,t
41,C,1230,t
329,C,1520,t
202,C,1650,t
66,C,1590,t
428,C,1120,t
345,C,1700,t
13,C,1210,t
231,C,1380,t
42,C,1720,t
316,C,1350,t
397,C,1110,t
265,C,1750,t
218,C,1180,t
293,C,1660,t
36,C,1190,t
181,C,1160,t
14,C,1710,t
160,C,1390,t
25,C,1790,t
137,C,1680,t
8,C,1740,t
371,C,1200,t
368,C,1540,t
