pa_id,name
316,Bibliothèque François Mitterrand
37,Bièvres
133,Boigneville
263,Bois-Colombes
247,Bois-le-Roi
123,Boissise-le-Roi
242,Boissy-l’Aillerie
99,Bondy
330,Bonnières
452,Boran-sur-Oise
48,Bouffémont – Moisselles
382,Bougival
218,Boulainvilliers
323,Bouray
97,Bourron-Marlotte – Grez
70,Boussy-Saint-Antoine
135,Boutigny
108,Brétigny
77,Breuillet – Bruyères le Chatel
25,Breuillet Village
29,Bréval
318,Brunoy
43,Bruyères-sur-Oise
101,Buno – Gironville
62,Cergy le Haut
351,Cergy Préfecture
94,Cergy Saint-Christophe
258,Cernay
143,Cesson
14,Chamarande
148,Champagne-sur-Oise
341,Champagne-sur-Seine
142,Champbenoist – Poigny
49,Champ de Courses d’Enghien
325,Champ de Mars Tour Eiffel
84,Changis – Saint-Jean
146,Chanteloup-les-Vignes
427,Chantilly-Gouvieux
20,Chaponval
18,Chars
312,Chartrettes
460,Château-Thierry
446,Châtelet – Les Halles
409,Chaumont-en-Vexin
326,Chaville Rive Droite
275,Chaville Rive Gauche
41,Chaville Vélizy
280,Chelles – Gournay
245,Chemin d’Antony
405,Chézy-sur-Marne
350,Chilly-Mazarin
160,Choisy-le-Roi
352,Clamart
68,Clichy – Levallois
57,Coignières
212,Colombes
110,Combs-la-Ville – Quincy
380,Compans
273,Conflans-Fin-d’Oise
71,Conflans-Sainte-Honorine
398,Corbeil-Essonnes
95,Cormeilles-en-Parisis
44,Couilly – Saint-Germain – Quincy
58,Coulommiers
388,Courbevoie
31,Crécy-la-Chapelle
436,Creil
441,Crépy-en-Valois
111,Créteil Pompadour
248,Crouy-sur-Ourcq
322,Dammartin – Juilly – Saint-Mard
115,Deuil – Montmagny
184,Domont
411,Dordives
277,Dourdan
260,Dourdan la Forêt
366,Drancy
407,Dreux
262,Écouen – Ézanville
267,Égly
234,Émerainville – Pontault-Combault
50,Enghien-les-Bains
21,Épinay-sur-Orge
379,Épinay-sur-Seine
472,Épinay – Villetaneuse
264,Épluches
195,Épône – Mézières
167,Éragny – Neuville
298,Ermont – Eaubonne
69,Ermont Halte
370,Esbly
302,Essonnes – Robinson
217,Étampes
42,Étrechy
170,Évry – Courcouronnes
340,Évry
168,Faremoutiers – Pommeuse
448,Ferrières Fontenay
200,Fontainebleau – Avon
192,Fontaine-le-Port
40,Fontenay-le-Fleury
189,Franconville – Le Plessis-Bouchard
332,Frépillon
209,Gagny
136,Garancières – La Queue
113,Garches – Marnes-la-Coquette
395,Gargenville
11,Garges – Sarcelles
147,Gennevilliers
454,Gisors
353,Goussainville
283,Grand Bourg
329,Gravigny – Balizy
122,Gretz-Armainvilliers
173,Grigny Centre
188,Groslay
165,Gros Noyer Saint-Prix
339,Guérard – La Celle-sur-Morin
220,Haussmann – Saint-Lazare
314,Herblay
141,Héricy
225,Houdan
378,Houilles – Carrières-sur-Seine
389,Igny
246,Invalides
392,Isles – Armentières – Congis
33,Issou – Porcheville
292,Issy
215,Issy Val de Seine
185,Ivry-sur-Seine
363,Javel
66,Jouy-en-Josas
112,Juvisy
290,Juziers
374,La Barre Ormesson
404,La Borne Blanche
119,La Celle-Saint-Cloud
83,La Courneuve – Aubervilliers
207,La Ferté-Alais
447,La Ferté-Milon
121,La Ferté-sous-Jouarre
145,La Frette – Montigny
100,La Garenne-Colombes
240,Lagny – Thorigny
131,La Grande-Paroisse
265,La Norville – Saint-Germain-lès-Arpajon
279,La Plaine – Stade de France
345,Lardy
295,La Verrière
431,La Villetertre
213,Le Blanc-Mesnil
256,Le Bourget
396,Le Bras de Fer
381,Le Chénay Gagny
103,Le Coudray-Monceaux
67,Le Mée
229,Le Perray
445,Le Plessis-Belleville
383,Le Plessis-Chenet
287,Le Raincy – Villemomble – Montfermeil
231,Les Ardoines
328,Les Boullereaux Champigny
76,Les Clairières de Verneuil
367,Les Essarts-le-Roi
397,Les Grésillons
348,Les Mureaux
30,Les Noues
334,Les Saules
243,Le Stade
24,Les Vallées
15,Les Yvris – Noisy-le-Grand
300,L’Étang-la-Ville
251,Le Val d’Or
208,Le Vert de Maisons
425,Liancourt-Saint-Pierre
166,Lieusaint – Moissy
60,Limay
107,L’Isle-Adam – Parmain
343,Livry-sur-Seine
150,Lizy-sur-Ourcq
