Transporteur Nom,PA ID,UIC8,UIC7,PR ID,ZDE ID,ZDE Libelle,ZDE Type,ZDE Mode,__ZDEp_ID,ZDEp Nom,ZDEp Mode,__ZDEr_ID,ZDEr Nom,ZDEr Mode,__ZDLr_ID,ZDLr Nom,__LDA_ID,ZDE_ASSOCIEE
SNCF,622,87714089,8771408,PR/0087-714089-HR,5010,Orgeval Novotel Pont A13,BUS,BUS,50118300,Orgeval Novotel Pont A13,BUS,470976,Orgeval Novotel Pont A13,bus,46772,Novotel (Pont A13),415628,
RATP,493,87754986,8775498,PR/0087-754986-00,91,Bussy-Saint-Georges,N.D.,TRAIN,50159000,Bussy-Saint-Georges,RAIL,473960,Bussy-Saint-Georges,rail,58874,Bussy-Saint-Georges,68105,N.D.
SNCF,149,87001479,8700147,PR/0087-001479-BV,1108,11,VOIE,TRAIN,50118384,Aéroport Charles de Gaulle 2 (Terminal 2),RAIL,470932,Aéroport Charles de Gaulle 2 (Terminal 2),rail,473364,Aéroport Charles de Gaulle 2 (Terminal 2),73699,1107
SNCF,149,87001479,8700147,PR/0087-001479-BV,1104,12,VOIE,TRAIN,50118879,Aéroport Charles de Gaulle 2 (Terminal 2),RAIL,472284,Aéroport Charles de Gaulle 2 (Terminal 2),rail,473364,Aéroport Charles de Gaulle 2 (Terminal 2),73699,1107
SNCF,149,87001479,8700147,PR/0087-001479-BV,1113,AEROPORT CHARLES DE GAULLE 2 TGV,BUS,BUS,50117908,Aéroport Charles de Gaulle 2 (Terminal 2),BUS,471437,Aéroport Charles de Gaulle 2 (Terminal 2),bus,44928,Aéroport CDG - Terminal 2EF,73845,
SNCF,149,87001479,8700147,PR/0087-001479-BV,4966,AEROPORT CHARLES DE GAULLE 2 TGV,BUS,BUS,50117495,Aéroport Charles de Gaulle 2 (Terminal 2),BUS,471844,Aéroport Charles de Gaulle 2 (Terminal 2),bus,44928,Aéroport CDG - Terminal 2EF,73845,
SNCF,393,87111278,8711127,PR/0087-111278-00,2776,1,VOIE,TRAIN,50117760,Porte de Clichy,RAIL,471557,Porte de Clichy,rail,44514,Porte de Clichy,71545,2778
SNCF,393,87111278,8711127,PR/0087-111278-00,2777,2,VOIE,TRAIN,50118410,Porte de Clichy,RAIL,470826,Porte de Clichy,rail,44514,Porte de Clichy,71545,2773
SNCF,393,87111278,8711127,PR/0087-111278-00,2774,PORTE DE CLICHY,BUS,BUS,50118070,Porte de Clichy,BUS,30009,Porte de Clichy,bus,473455,Porte de Clichy,71545,
SNCF,393,87111278,8711127,PR/0087-111278-00,2775,PORTE DE CLICHY,BUS,BUS,50118610,Porte de Clichy,BUS,470628,Porte de Clichy,bus,473455,Porte de Clichy,71545,
SNCF,464,87111849,8711184,PR/0087-111849-BV,3033,3,VOIE,TRAIN,50116555,Marne-la-Vallée Chessy,RAIL,472552,Marne-La-Vallée Chessy,rail,43239,Marne-la-Vallée Chessy,68385,3035
SNCF,464,87111849,8711184,PR/0087-111849-BV,3031,4,VOIE,TRAIN,50116554,Marne-la-Vallée Chessy,RAIL,472550,Marne-La-Vallée Chessy,rail,43239,Marne-la-Vallée Chessy,68385,3036
SNCF,464,87111849,8711184,PR/0087-111849-BV,3030,5,VOIE,TRAIN,50118482,Marne-la-Vallée Chessy,RAIL,470780,Marne-La-Vallée Chessy,rail,43239,Marne-la-Vallée Chessy,68385,3036
SNCF,16,87113001,8711300,PR/0087-113001-00,110,10,VOIE,TRAIN,50117499,Paris Est,RAIL,471856,Paris Est,rail,470519,Gare de l'Est,71359,90
SNCF,16,87113001,8711300,PR/0087-113001-00,112,11,VOIE,TRAIN,50118459,Paris Est,RAIL,470879,Paris Est,rail,470519,Gare de l'Est,71359,126
SNCF,16,87113001,8711300,PR/0087-113001-00,113,12,VOIE,TRAIN,50117114,Paris Est,RAIL,472095,Paris Est,rail,470519,Gare de l'Est,71359,126
SNCF,16,87113001,8711300,PR/0087-113001-00,130,13,VOIE,TRAIN,50118724,Paris Est,RAIL,472502,Paris Est,rail,470519,Gare de l'Est,71359,127
SNCF,16,87113001,8711300,PR/0087-113001-00,118,14,VOIE,TRAIN,50118444,Paris Est,RAIL,470866,Paris Est,rail,470519,Gare de l'Est,71359,127
SNCF,16,87113001,8711300,PR/0087-113001-00,106,15,VOIE,TRAIN,50116241,Paris Est,RAIL,472949,Paris Est,rail,470519,Gare de l'Est,71359,128
SNCF,16,87113001,8711300,PR/0087-113001-00,120,16,VOIE,TRAIN,50118010,Paris Est,RAIL,471326,Paris Est,rail,470519,Gare de l'Est,71359,128
SNCF,16,87113001,8711300,PR/0087-113001-00,121,17,VOIE,TRAIN,50117512,Paris Est,RAIL,471696,Paris Est,rail,470519,Gare de l'Est,71359,129
SNCF,16,87113001,8711300,PR/0087-113001-00,122,18,VOIE,TRAIN,50118201,Paris Est,RAIL,471134,Paris Est,rail,470519,Gare de l'Est,71359,129
SNCF,16,87113001,8711300,PR/0087-113001-00,123,19,VOIE,TRAIN,50118089,Paris Est,RAIL,471211,Paris Est,rail,470519,Gare de l'Est,71359,94
SNCF,16,87113001,8711300,PR/0087-113001-00,125,2,VOIE,TRAIN,50117762,Paris Est,RAIL,471559,Paris Est,rail,470519,Gare de l'Est,71359,92
SNCF,16,87113001,8711300,PR/0087-113001-00,124,20,VOIE,TRAIN,50116534,Paris Est,RAIL,472692,Paris Est,rail,470519,Gare de l'Est,71359,94
SNCF,16,87113001,8711300,PR/0087-113001-00,91,21,VOIE,TRAIN,50116297,Paris Est,RAIL,472869,Paris Est,rail,470519,Gare de l'Est,71359,117
SNCF,16,87113001,8711300,PR/0087-113001-00,105,22,VOIE,TRAIN,50118552,Paris Est,RAIL,470704,Paris Est,rail,470519,Gare de l'Est,71359,117
SNCF,16,87113001,8711300,PR/0087-113001-00,93,23,VOIE,TRAIN,50116545,Paris Est,RAIL,472541,Paris Est,rail,470519,Gare de l'Est,71359,83
SNCF,16,87113001,8711300,PR/0087-113001-00,81,24,VOIE,TRAIN,50118373,Paris Est,RAIL,470947,Paris Est,rail,470519,Gare de l'Est,71359,83
SNCF,16,87113001,8711300,PR/0087-113001-00,95,25,VOIE,TRAIN,50118731,Paris Est,RAIL,472523,Paris Est,rail,470519,Gare de l'Est,71359,84
SNCF,16,87113001,8711300,PR/0087-113001-00,96,26,VOIE,TRAIN,50117041,Paris Est,RAIL,472048,Paris Est,rail,470519,Gare de l'Est,71359,84
SNCF,16,87113001,8711300,PR/0087-113001-00,97,27,VOIE,TRAIN,50116466,Paris Est,RAIL,472338,Paris Est,rail,470519,Gare de l'Est,71359,85
SNCF,16,87113001,8711300,PR/0087-113001-00,98,28,VOIE,TRAIN,50118679,Paris Est,RAIL,472655,Paris Est,rail,470519,Gare de l'Est,71359,85
SNCF,16,87113001,8711300,PR/0087-113001-00,108,29,VOIE,TRAIN,50116519,Paris Est,RAIL,472723,Paris Est,rail,470519,Gare de l'Est,71359,86
SNCF,16,87113001,8711300,PR/0087-113001-00,100,3,VOIE,TRAIN,50118729,Paris Est,RAIL,472527,Paris Est,rail,470519,Gare de l'Est,71359,87
SNCF,16,87113001,8711300,PR/0087-113001-00,99,30,VOIE,TRAIN,50117801,Paris Est,RAIL,471533,Paris Est,rail,470519,Gare de l'Est,71359,86
SNCF,16,87113001,8711300,PR/0087-113001-00,101,4,VOIE,TRAIN,50118582,Paris Est,RAIL,470740,Paris Est,rail,470519,Gare de l'Est,71359,87
SNCF,16,87113001,8711300,PR/0087-113001-00,103,5,VOIE,TRAIN,50118579,Paris Est,RAIL,470734,Paris Est,rail,470519,Gare de l'Est,71359,88
SNCF,16,87113001,8711300,PR/0087-113001-00,104,6,VOIE,TRAIN,50117722,Paris Est,RAIL,471607,Paris Est,rail,470519,Gare de l'Est,71359,88
SNCF,16,87113001,8711300,PR/0087-113001-00,82,7,VOIE,TRAIN,50117994,Paris Est,RAIL,471309,Paris Est,rail,470519,Gare de l'Est,71359,89
SNCF,16,87113001,8711300,PR/0087-113001-00,107,8,VOIE,TRAIN,50117732,Paris Est,RAIL,471604,Paris Est,rail,470519,Gare de l'Est,71359,89
SNCF,16,87113001,8711300,PR/0087-113001-00,111,9,VOIE,TRAIN,50118413,Paris Est,RAIL,470833,Paris Est,rail,470519,Gare de l'Est,71359,90
SNCF,16,87113001,8711300,PR/0087-113001-00,115,PARIS EST,BUS,BUS,50116686,Paris Est,BUS,39917,Gare de l'est,bus,473807,Gare de l'Est (Boulevard de Strasbourg),71359,
SNCF,16,87113001,8711300,PR/0087-113001-00,116,PARIS EST,BUS,BUS,50116964,Paris Est,BUS,472143,Paris Est,bus,45187,Verdun,480614,
SNCF,16,87113001,8711300,PR/0087-113001-00,114,PARIS EST (D NORD),BUS,BUS,50117617,Paris Est,BUS,471814,Paris Est,bus,470536,Magenta - Gare de l'Est,71359,
SNCF,178,87113209,8711320,PR/0087-113209-BV,1305,A,VOIE,TRAIN,50118174,Pantin,RAIL,471103,Pantin,rail,43176,Pantin,72421,1312
SNCF,178,87113209,8711320,PR/0087-113209-BV,1310,B,VOIE,TRAIN,50118924,Pantin,RAIL,472972,Pantin,rail,43176,Pantin,72421,1312
SNCF,178,87113209,8711320,PR/0087-113209-BV,1304,C,VOIE,TRAIN,50118423,Pantin,RAIL,470857,Pantin,rail,43176,Pantin,72421,1303
SNCF,178,87113209,8711320,PR/0087-113209-BV,1302,D,VOIE,TRAIN,50116298,Pantin,RAIL,472870,Pantin,rail,43176,Pantin,72421,1303
SNCF,178,87113209,8711320,PR/0087-113209-BV,1307,E,VOIE,TRAIN,50117881,Pantin,RAIL,471454,Pantin,rail,43176,Pantin,72421,1306
SNCF,178,87113209,8711320,PR/0087-113209-BV,1308,F,VOIE,TRAIN,50117777,Pantin,RAIL,471540,Pantin,rail,43176,Pantin,72421,1306
SNCF,178,87113209,8711320,PR/0087-113209-BV,1309,PANTIN,BUS,BUS,50117008,Pantin,BUS,37454,Pantin RER - Mairie,bus,473350,Pantin RER - Mairie (av. Edouard Vaillant),72421,
SNCF,178,87113209,8711320,PR/0087-113209-BV,6029,PANTIN,BUS,BUS,50117313,Pantin,BUS,477148,Pantin,bus,473350,Pantin RER - Mairie (av. Edouard Vaillant),72421,
SNCF,180,87113217,8711321,PR/0087-113217-BV,1327,A,VOIE,TRAIN,50118307,Noisy-le-Sec,RAIL,471015,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1322
SNCF,180,87113217,8711321,PR/0087-113217-BV,1328,B,VOIE,TRAIN,50116472,Noisy-le-Sec,RAIL,472317,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1322
SNCF,180,87113217,8711321,PR/0087-113217-BV,1326,C,VOIE,TRAIN,50118775,Noisy-le-Sec,RAIL,472591,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1319
SNCF,180,87113217,8711321,PR/0087-113217-BV,1325,D,VOIE,TRAIN,50117553,Noisy-le-Sec,RAIL,471749,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1319
SNCF,180,87113217,8711321,PR/0087-113217-BV,1320,E,VOIE,TRAIN,50116167,Noisy-le-Sec,RAIL,472746,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1321
SNCF,180,87113217,8711321,PR/0087-113217-BV,1331,F,VOIE,TRAIN,50116110,Noisy-le-Sec,RAIL,472805,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1321
SNCF,180,87113217,8711321,PR/0087-113217-BV,1323,G,VOIE,TRAIN,50116165,Noisy-le-Sec,RAIL,472744,Noisy-le-Sec,rail,44201,Noisy-le-Sec,72041,1330
